ELEMENT_ID,TYPE,COLOR,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0,curve,,164,274,105,274,97,329,97,329
0,curve,,97,329,71,370,102,391,164,389
0,curve,,164,389,275,392,229,323,229,323
0,curve,,229,323,229,323,223,274,164,274
1,line,,164,385,164,452
1,line,,164,452,435,452
1,line,,164,385,202,385
1,line,,232,385,367,385
1,line,,399,385,435,385
1,line,,435,385,435,452
1,line,,164,445,435,445
1,line,,164,395,435,395
1,line,,153,385,153,452
1,line,,448,385,448,453
1,curve,,153,385,152,380,162,375,164,385
1,curve,,153,452,153,461,164,460,164,452
1,curve,,435,385,435,377,446,375,448,385
1,curve,,435,452,435,461,448,460,448,452
2,line,,208,414,213,414
2,line,,213,414,213,419
2,line,,213,419,223,419
2,line,,223,419,223,414
2,line,,223,414,228,414
2,line,,228,414,228,428
2,line,,228,428,223,428
2,line,,223,428,223,423
2,line,,223,423,213,423
2,line,,213,423,213,428
2,line,,213,428,208,428
2,line,,208,428,208,414
3,line,,242,413,257,421
3,line,,257,421,257,413
3,line,,257,413,262,413
3,line,,262,413,262,429
3,line,,262,429,248,421
3,line,,248,421,248,428
3,line,,248,428,242,428
3,line,,242,428,242,413
4,line,,275,416,278,413
4,line,,278,413,286,420
4,line,,286,420,294,413
4,line,,294,413,297,416
4,line,,297,416,289,423
4,line,,289,423,289,428
4,line,,289,428,283,428
4,line,,283,428,283,422
4,line,,283,422,275,416
5,curve,,199,378,199,369,223,360,231,374
5,curve,,231,374,233,378,235,384,225,390
5,curve,,225,390,220,388,196,392,199,378
6,curve,,124,387,124,386,102,407,96,427
6,curve,,96,427,96,427,93,445,109,450
6,curve,,109,450,126,455,146,445,146,445
6,curve,,146,445,146,445,157,437,157,430
6,curve,,157,430,157,421,148,414,139,415
7,line,,107,449,99,465
7,curve,,99,465,96,474,129,490,140,489
7,curve,,140,489,148,487,154,478,154,477
7,curve,,154,477,155,477,162,477,163,477
7,curve,,163,477,164,481,165,484,168,487
7,curve,,168,487,171,490,192,492,207,490
7,curve,,207,490,222,487,222,452,222,452
7,curve,,101,415,101,415,86,437,106,449
8,curve,,98,375,95,351,127,357,127,357
8,line,,127,357,164,366
8,line,,164,366,202,357
8,curve,,202,357,236,351,229,375,229,375
9,polygon,#441f14,160,364,164,368,169,364
10,curve,,130,356,130,356,131,347,136,347
10,curve,,136,347,142,347,142,356,142,356
10,curve,,142,356,142,356,142,364,136,364
10,curve,,136,364,130,364,130,356,130,356
11,line,,194,350,185,357
11,line,,185,357,196,359
12,curve,,133,330,130,328,132,328,135,328
12,curve,,135,328,138,328,139,330,139,330
12,curve,,139,330,143,330,145,332,145,332
12,curve,,145,332,148,336,144,338,144,338
12,curve,,144,338,141,340,134,337,134,337
12,curve,,134,337,125,334,126,331,126,331
12,curve,,126,331,128,326,133,330,133,330
13,curve,,195,330,198,328,197,328,194,328
13,curve,,194,328,191,328,189,330,189,330
13,curve,,189,330,185,330,183,332,183,332
13,curve,,183,332,180,336,185,338,185,338
13,curve,,185,338,188,340,195,337,195,337
13,curve,,195,337,204,334,203,331,203,331
13,curve,,203,331,201,326,195,330,195,330
14,curve,,111,296,105,275,84,273,84,273
14,curve,,84,273,105,260,138,277,138,277
15,curve,,84,273,78,301,106,306,106,306
16,curve,,218,296,224,275,245,273,245,273
16,curve,,245,273,224,260,191,277,191,277
17,curve,,245,273,251,301,223,306,223,306
18,curve,,126,246,117,224,102,238,102,238
18,curve,,102,238,89,254,110,267,110,267
18,curve,,110,267,122,271,131,284,131,284
18,curve,,131,284,141,297,151,289,151,289
18,curve,,151,289,157,281,140,266,140,266
